Time,Day1,Day2,Day3,Day4,Day5,Day6,Day7,Day8,Day9,Day10,Day11,Day12,Day13,Day14,Day15,Day16,Day17,Day18,Day19,Day20,Day21,Day22,Day23,Day24,Day25,Day26,Day27,Day28,Day29,Day30,Day31
2024-04-26 13:30:00,3842.3609,3857.3824,1738.2345,2436.4236,3954.0335,3313.4326,2506.5382,2123.3815,2505.0088,1867.7039,2750.0974,4800.6551,2873.145,2559.8461,4358.2762,3856.3618,3080.5902,3333.9816,2414.8726,3838.5149,3186.607,2470.2744,2978.079,2459.5376,3293.5493,2988.8229,2484.0828,2654.9662,2618.2259,2352.0818,2143.8475
2024-04-26 13:45:00,4136.2747,3815.3158,1709.8963,2573.0891,4095.7802,3738.1442,2657.0492,2302.9143,2842.2454,2158.8624,2765.5506,4285.3469,2774.9501,2810.1921,4347.4782,3878.7678,3186.5926,3465.1201,2493.0554,3802.4496,3303.8088,2573.5355,2577.1279,2618.229,3354.5596,2842.3371,2446.8887,2284.8762,2566.5555,2356.2775,2097.8259
2024-04-26 14:00:00,4169.6302,3866.0989,1721.6261,2595.5782,4066.0747,3752.5405,2804.0922,2356.0399,2785.1486,2255.3172,2728.7712,4189.6872,2575.7485,2723.7522,4311.5473,3901.6953,3346.9168,3103.5881,2673.8687,3944.1753,3242.9781,2395.6199,2350.6543,2552.7079,3406.8316,3048.9602,2713.9415,2337.5208,2442.2957,2279.5568,2081.3324
2024-04-26 14:15:00,4514.7629,3937.0216,1575.6477,2751.4046,4191.9922,3624.2576,3386.296,2627.1767,2771.8466,2211.8014,2595.1511,4326.0887,2805.5515,2853.7085,4453.4558,3885.8032,3163.6477,3420.3881,2559.0409,3642.4936,3231.4894,2381.2924,2292.4663,2225.3233,3245.6398,3084.1767,2753.7891,2101.3103,2965.3244,2188.6985,2164.6096
2024-04-26 14:30:00,4345.9264,3971.5092,1657.728,2347.6145,3892.7947,3244.8899,3223.3317,2809.2835,2758.7699,2058.973,2546.898,4609.4148,2436.0555,2656.3047,4645.4746,3982.6566,2617.6967,3502.4272,2690.6381,3554.7494,2759.2864,2704.5241,2297.6794,2052.6216,3379.3079,2887.373,2625.0283,2078.273,2633.5019,2157.5164,1993.9614
2024-04-26 14:45:00,4354.4256,3578.4907,1735.7466,2374.8355,3916.9091,3334.8735,3240.1205,2839.2485,3032.9043,2203.4711,2505.9566,4853.6356,2519.5226,2328.3523,5072.7401,3950.1809,2507.7385,3639.4528,2712.1267,3638.2653,2845.8433,2730.8064,2311.8517,2099.2861,3321.665,3192.3362,2338.979,1954.1566,2995.5303,2217.2627,1999.3723
2024-04-26 15:00:00,4098.9517,3500.5434,1781.4393,2509.0221,3570.1375,3438.1023,3195.1631,2991.4149,3018.5803,1978.7278,2516.7414,4738.4074,2695.5942,2445.1657,5161.9733,4158.245,2608.9733,3673.5545,2480.2407,3645.9443,2884.1488,2637.693,2469.5872,2328.7392,3242.3544,3093.5353,2161.5975,1889.5375,3183.0906,2283.4372,2093.1158
2024-04-26 15:15:00,3912.6388,3523.8442,1667.6045,2354.75,3646.4437,3432.699,3022.9602,3206.1381,3078.7711,1738.2599,2669.658,4760.0844,2756.7321,2516.1147,4716.5905,4457.9679,2672.4081,3367.789,2752.0976,3622.7759,3003.4187,2474.4625,2635.2134,2630.2433,3012.2709,2764.0928,2084.3776,1838.5778,2942.18,2362.0302,2079.2218
2024-04-26 15:30:00,3946.068,3571.8209,1770.4248,2236.6628,3549.4828,3511.0867,2981.8791,3212.3899,2426.534,1614.187,2707.8764,4896.2713,2864.7905,2571.835,4438.4443,4501.8911,2473.1989,3337.1103,2491.1537,3715.7095,2780.8177,2632.7467,2684.2918,2630.0473,2016.0593,2569.9935,2217.5605,1979.3708,3053.9405,2492.7846,2054.5973
2024-04-26 15:45:00,3565.9663,3524.9826,1429.0161,2203.4308,3533.2936,3602.8587,2876.1694,2728.864,2444.0293,1754.5621,2995.6045,4718.7688,2820.8457,2762.4179,4808.8291,4511.3254,2323.2003,3283.1674,2497.4198,3702.0013,2842.8051,2594.911,2567.0959,2655.0158,1938.4328,2566.3719,1890.0131,1934.642,2843.6205,2101.9179,1977.0175
